constrained_or_not,tpm,scaling fbn,fbn,cluster,az,t2_site,parent site,site,constratined site date,parent site rspc needed,impact date,six week nho,pfho,nea,corp,fea,change freeze,umn,provide floor plan,network rack split,provide cutsheets,finalize webbom,initiation,ss
Constrained,cifizzar,NW19DB2007,IAD140ROMP01,IAD,IAD12,IAD140,IAD144,IAD144,05/10/20,10/31/20,01/25/21,01/14/21,12/28/20,11/30/20,12/21/20,11/16/20,09/14/20,11/02/20,09/14/20,08/31/20,08/10/20,07/27/20,07/03/20,07/18/20
Constrained,tmocook,NW18DB4044,IAD147ROMP01,IAD,IAD12,IAD147,IAD144,IAD144,05/10/20,11/07/20,01/20/21,01/21/21,01/18/21,12/07/20,12/28/20,11/23/20,10/05/20,11/09/20,09/21/20,09/07/20,08/17/20,08/03/20,07/10/20,07/18/20
Constrained,tmocook,NW18DB4044,IAD147ROMP01,IAD,IAD12,IAD147,IAD090,IAD90,06/21/20,11/07/20,01/20/21,01/21/21,01/18/21,12/07/20,12/28/20,11/23/20,10/05/20,11/09/20,09/21/20,09/07/20,08/17/20,08/03/20,07/10/20,07/18/20
Constrained,cifizzar,NW19DB4003,IAD119ROMP01,IAD,IAD6,IAD119,IAD115,IAD115,06/27/21,11/14/20,02/15/21,01/28/21,02/01/21,12/14/20,01/04/21,11/30/20,10/19/20,11/16/20,09/28/20,09/14/20,08/24/20,08/10/20,07/17/20,07/18/20
Constrained,cifizzar,NW19DB4003,IAD119ROMP01,IAD,IAD6,IAD119,IAD116,IAD116,05/10/20,11/14/20,02/15/21,01/28/21,02/01/21,12/14/20,01/04/21,11/30/20,10/19/20,11/16/20,09/28/20,09/14/20,08/24/20,08/10/20,07/17/20,07/18/20
Constrained,,NW19DB2035,SIN065COLP01,SIN,SIN3,SIN065,SIN003,SIN3,02/07/21,12/06/20,03/02/21,02/19/21,02/02/21,01/05/21,01/26/21,12/22/20,10/13/20,12/08/20,10/20/20,10/06/20,09/15/20,09/01/20,08/08/20,07/18/20
Constrained,danmicha,NW20DB2080,PDX068ROMP01,PDX,PDX1,PDX068,PDX056,PDX56,05/10/20,12/19/20,03/22/21,03/04/21,02/22/21,01/18/21,02/08/21,01/04/21,11/09/20,12/21/20,11/02/20,10/19/20,09/28/20,09/14/20,08/21/20,07/18/20
Constrained,stkeck,NW19DB1002,LHR057COLP01,LHR,LHR53,LHR057,LHR053,LHR53,01/03/21,12/29/20,03/24/21,03/14/21,03/10/21,01/28/21,02/18/21,01/14/21,11/18/20,12/31/20,11/12/20,10/29/20,10/08/20,09/24/20,08/31/20,07/18/20
Not Constrained,cifizzar,NW19DB2037,CDG070COLP01,CDG,CDG54,CDG070,CDG054,CDG54,05/10/20,01/13/21,04/09/21,03/29/21,03/26/21,02/12/21,03/05/21,01/29/21,12/04/20,01/15/21,11/27/20,11/13/20,10/23/20,10/09/20,09/15/20,07/18/20
Not Constrained,danmicha,NW20DB2075,PDX069ROMP01,PDX,PDX2,PDX069,PDX002,PDX2,05/10/20,01/16/21,04/19/21,04/01/21,03/22/21,02/15/21,03/08/21,02/01/21,12/07/20,01/18/21,11/30/20,11/16/20,10/26/20,10/12/20,09/18/20,07/18/20
Not Constrained,danmicha,NW20DB2075,PDX069ROMP01,PDX,PDX2,PDX069,PDX057,PDX57,05/10/20,01/16/21,04/19/21,04/01/21,03/22/21,02/15/21,03/08/21,02/01/21,12/07/20,01/18/21,11/30/20,11/16/20,10/26/20,10/12/20,09/18/20,07/18/20
Not Constrained,stkeck,NW20DB1012,IAD175ROMP01,IAD,IAD12,IAD175,IAD144,IAD144,05/10/20,01/23/21,04/05/21,04/08/21,03/22/21,02/22/21,03/15/21,02/08/21,12/07/20,01/25/21,12/07/20,11/23/20,11/02/20,10/19/20,09/25/20,07/18/20
Not Constrained,stkeck,NW20DB1012,IAD175ROMP01,IAD,IAD12,IAD175,IAD145,IAD145,07/04/21,01/23/21,04/05/21,04/08/21,03/22/21,02/22/21,03/15/21,02/08/21,12/07/20,01/25/21,12/07/20,11/23/20,11/02/20,10/19/20,09/25/20,07/18/20
Constrained,cifizzar,NW20DB1009,IAD101ROMP01,IAD,IAD7,IAD101,IAD132,IAD132,01/03/21,02/06/21,05/10/21,04/22/21,04/12/21,03/08/21,03/29/21,02/22/21,12/28/20,02/08/21,12/21/20,12/07/20,11/16/20,11/02/20,10/09/20,07/18/20
Not Constrained,cifizzar,NW20DB1008,IAD152ROMP01,IAD,IAD1,IAD152,IAD150,IAD150,05/30/21,02/06/21,05/03/21,04/22/21,04/05/21,03/08/21,03/29/21,02/22/21,12/21/20,02/08/21,12/21/20,12/07/20,11/16/20,11/02/20,10/09/20,07/18/20
Not Constrained,cifizzar,NW20DB1008,IAD152ROMP01,IAD,IAD1,IAD152,IAD061,IAD61,05/10/20,02/06/21,05/03/21,04/22/21,04/05/21,03/08/21,03/29/21,02/22/21,12/21/20,02/08/21,12/21/20,12/07/20,11/16/20,11/02/20,10/09/20,07/18/20
Not Constrained,cifizzar,NW20DB1008,IAD152ROMP01,IAD,IAD1,IAD152,IAD065,IAD65,05/10/20,02/06/21,05/03/21,04/22/21,04/05/21,03/08/21,03/29/21,02/22/21,12/21/20,02/08/21,12/21/20,12/07/20,11/16/20,11/02/20,10/09/20,07/18/20
Not Constrained,cifizzar,NW20DB1009,IAD101ROMP01,IAD,IAD7,IAD101,IAD085,IAD85,10/31/21,02/06/21,05/10/21,04/22/21,04/12/21,03/08/21,03/29/21,02/22/21,12/28/20,02/08/21,12/21/20,12/07/20,11/16/20,11/02/20,10/09/20,07/18/20
Not Constrained,danmicha,NW20DB2042,CMH059ROMP01,CMH,CMH50,CMH059,CMH050,CMH50,05/10/20,02/08/21,05/10/21,04/24/21,04/12/21,03/10/21,03/31/21,02/24/21,12/28/20,02/10/21,12/23/20,12/09/20,11/18/20,11/04/20,10/11/20,07/18/20
Not Constrained,danmicha,NW20DB2043,CMH060ROMP01,CMH,CMH51,CMH060,CMH051,CMH51,05/10/20,02/13/21,05/10/21,04/29/21,04/12/21,03/15/21,04/05/21,03/01/21,12/28/20,02/15/21,12/28/20,12/14/20,11/23/20,11/09/20,10/16/20,07/18/20
Not Constrained,danmicha,NW20DB2044,CMH061ROMP01,CMH,CMH52,CMH061,CMH052,CMH52,05/10/20,02/13/21,05/10/21,04/29/21,04/12/21,03/15/21,04/05/21,03/01/21,12/28/20,02/15/21,12/28/20,12/14/20,11/23/20,11/09/20,10/16/20,07/18/20
Not Constrained,danmicha,NW18DB4006,DUB084ROMP01,DUB,DUB4,DUB084,DUB054,DUB54,05/10/20,02/20/21,05/17/21,05/06/21,04/19/21,03/22/21,04/12/21,03/08/21,01/04/21,02/22/21,01/04/21,12/21/20,11/30/20,11/16/20,10/23/20,07/18/20
Constrained,danmicha,NW20DB2065,ICN066COLP01,ICN,ICN53,ICN066,ICN053,ICN53,03/07/21,03/16/21,06/12/21,05/30/21,05/15/21,04/15/21,05/06/21,04/01/21,01/23/21,03/18/21,01/28/21,01/14/21,12/24/20,12/10/20,11/16/20,07/18/20
Not Constrained,danmicha,NW19DB2006,IAD120ROMP01,IAD,IAD62,IAD120,IAD062,IAD62,05/10/20,03/24/21,06/07/21,06/07/21,05/24/21,04/23/21,05/14/21,04/09/21,02/08/21,03/26/21,02/05/21,01/22/21,01/01/21,12/18/20,11/24/20,07/18/20
Not Constrained,danmicha,NW19DB2006,IAD120ROMP01,IAD,IAD62,IAD120,IAD068,IAD68,05/10/20,03/24/21,06/07/21,06/07/21,05/24/21,04/23/21,05/14/21,04/09/21,02/08/21,03/26/21,02/05/21,01/22/21,01/01/21,12/18/20,11/24/20,07/18/20
Not Constrained,cifizzar,NW19DB4002,IAD086ROMP01,IAD,IAD1,IAD086,IAD150,IAD150,05/30/21,04/03/21,06/28/21,06/17/21,05/31/21,05/03/21,05/24/21,04/19/21,02/15/21,04/05/21,02/15/21,02/01/21,01/11/21,12/28/20,12/04/20,07/18/20
Not Constrained,cifizzar,NW19DB4002,IAD086ROMP01,IAD,IAD1,IAD086,IAD061,IAD61,05/10/20,04/03/21,06/28/21,06/17/21,05/31/21,05/03/21,05/24/21,04/19/21,02/15/21,04/05/21,02/15/21,02/01/21,01/11/21,12/28/20,12/04/20,07/18/20
Constrained,cifizzar,NW19DB4002,IAD086ROMP01,IAD,IAD1,IAD086,IAD063,IAD63,03/07/21,04/03/21,06/28/21,06/17/21,05/31/21,05/03/21,05/24/21,04/19/21,02/15/21,04/05/21,02/15/21,02/01/21,01/11/21,12/28/20,12/04/20,07/18/20
Not Constrained,cifizzar,NW19DB4002,IAD086ROMP01,IAD,IAD1,IAD086,IAD065,IAD65,05/10/20,04/03/21,06/28/21,06/17/21,05/31/21,05/03/21,05/24/21,04/19/21,02/15/21,04/05/21,02/15/21,02/01/21,01/11/21,12/28/20,12/04/20,07/18/20
Not Constrained,danmicha,NW20DB2038,PDX092ROMP01,PDX,PDX4,PDX092,PDX004,PDX4,05/17/20,04/03/21,07/05/21,06/17/21,06/07/21,05/03/21,05/24/21,04/19/21,02/22/21,04/05/21,02/15/21,02/01/21,01/11/21,12/28/20,12/04/20,07/18/20
Not Constrained,danmicha,NW20DB2038,PDX092ROMP01,PDX,PDX4,PDX092,PDX055,PDX55,05/10/20,04/03/21,07/05/21,06/17/21,06/07/21,05/03/21,05/24/21,04/19/21,02/22/21,04/05/21,02/15/21,02/01/21,01/11/21,12/28/20,12/04/20,07/18/20
Not Constrained,cifizzar,NW20DB1010,IAD129ROMP01,IAD,IAD6,IAD129,IAD115,IAD115,06/27/21,04/17/21,07/12/21,07/01/21,06/28/21,05/17/21,06/07/21,05/03/21,03/15/21,04/19/21,03/01/21,02/15/21,01/25/21,01/11/21,12/18/20,07/18/20
Not Constrained,cifizzar,NW20DB1010,IAD129ROMP01,IAD,IAD6,IAD129,IAD116,IAD116,05/10/20,04/17/21,07/12/21,07/01/21,06/28/21,05/17/21,06/07/21,05/03/21,03/15/21,04/19/21,03/01/21,02/15/21,01/25/21,01/11/21,12/18/20,07/18/20
Not Constrained,danmicha,NW20DB2024,IAD083ROMP01,IAD,IAD62,IAD083,IAD068,IAD68,05/10/20,04/17/21,07/12/21,07/01/21,06/28/21,05/17/21,06/07/21,05/03/21,03/15/21,04/19/21,03/01/21,02/15/21,01/25/21,01/11/21,12/18/20,07/18/20
